date,views,uniques,views_7d,uniques_7d
2025-07-02,3,1,9,7
2025-07-03,0,0,9,7
2025-07-04,0,0,8,6
2025-07-05,1,1,8,6
2025-07-06,0,0,8,6
2025-07-07,0,0,8,6
2025-07-08,0,0,7,5
2025-07-09,0,0,7,5
2025-07-15,1,1,1,1
2025-07-30,0,0,0,0
2025-07-31,0,0,0,0
2025-08-01,0,0,0,0
2025-08-02,0,0,0,0
2025-08-03,0,0,0,0
2025-08-04,0,0,0,0
2025-08-05,0,0,0,0
2025-08-06,0,0,0,0
2025-08-07,0,0,0,0
2025-08-08,0,0,0,0
2025-08-09,0,0,0,0
2025-08-10,0,0,0,0
2025-08-11,0,0,0,0
2025-08-12,1,1,1,1
2025-08-16,1,1,2,2
2025-08-17,5,5,7,7
2025-08-18,3,2,10,8
2025-08-21,2,2,12,10
2025-08-22,1,1,12,10
2025-08-27,1,1,13,11
2025-08-28,1,1,14,12
2025-08-30,1,1,11,9
2025-09-01,1,1,9,8
2025-09-11,3,3,8,7
2025-09-21,3,1,3,1
2025-10-05,1,1,1,1
2025-10-07,1,1,2,2
2025-10-12,1,1,3,3
2025-10-13,3,2,6,5
2025-10-14,1,1,5,4
2025-10-22,1,1,6,5
2025-10-26,1,1,6,5
2025-11-03,1,1,1,1
2025-11-13,3,1,4,2
2025-11-15,4,1,8,3
2025-11-29,4,1,60,8
2025-11-30,1,1,61,9
2025-12-02,1,1,61,9
2025-12-03,1,1,60,9
2025-12-04,5,1,65,10
2025-12-05,1,1,39,10
2025-12-07,1,1,40,11
2025-12-08,2,2,21,12
2025-12-10,2,2,13,9
2025-12-16,1,1,13,9
2025-12-20,1,1,4,4
2025-12-22,0,0,4,4
2025-12-23,0,0,4,4
2025-12-24,0,0,2,2
2025-12-25,1,1,3,3
2025-12-27,0,0,3,3
2025-12-28,0,0,3,3
2025-12-29,0,0,3,3
2025-12-30,0,0,2,2
2025-12-31,0,0,2,2
2026-01-01,0,0,2,2
2026-01-02,0,0,2,2
2026-01-03,0,0,1,1
2026-01-05,0,0,2,2
2026-01-06,3,2,5,4
2026-01-07,1,1,6,5
2026-01-08,1,1,6,4
2026-01-09,4,2,10,6
2026-01-10,0,0,10,6
2026-01-12,0,0,10,6
2026-01-13,1,1,11,7
2026-01-14,1,1,12,7
2026-01-15,0,0,12,7
2026-01-16,1,1,13,8
2026-01-17,0,0,13,8
2026-01-18,1,1,13,8
2026-01-19,0,0,13,8
2026-01-20,2,1,12,6
2026-01-21,0,0,11,6
2026-01-22,6,2,16,7
2026-01-23,0,0,12,6
2026-01-24,1,1,13,7
2026-01-25,0,0,13,7
2026-01-26,0,0,13,7
2026-01-27,0,0,12,6
2026-01-28,3,2,14,8
2026-01-29,0,0,14,8
2026-01-30,0,0,13,7
2026-01-31,0,0,13,7
2026-02-01,0,0,12,6
2026-02-02,6,3,18,8
2026-02-03,2,2,18,10
2026-02-04,0,0,18,10
2026-02-05,0,0,12,8
2026-02-06,0,0,12,8
2026-02-07,0,0,11,7
2026-02-08,1,1,12,8
