date,views,uniques,views_7d,uniques_7d
2026-06-13,49,10,85,10
2026-06-14,58,18,137,26
2026-06-15,32,11,167,35
2026-06-16,13,4,180,38
2026-06-17,5,4,185,41
2026-06-18,7,5,192,46
2026-06-19,11,7,203,53
2026-06-20,1,1,204,54
2026-06-21,15,5,219,57
2026-06-22,6,6,225,63
2026-06-23,4,4,229,65
2026-06-24,1,1,230,66
2026-06-25,6,1,233,67
2026-06-26,2,2,210,68
2026-06-27,0,0,161,60
2026-06-28,2,2,105,47
2026-06-29,1,1,74,40
2026-06-30,2,1,63,37
2026-07-01,4,2,62,34
2026-07-02,4,2,59,30
2026-07-03,9,2,57,25
2026-07-04,10,2,66,25
2026-07-05,2,2,53,22
2026-07-06,2,1,49,19
2026-07-07,0,0,45,16
2026-07-08,6,6,50,20
2026-07-09,0,0,44,19
2026-07-10,11,9,53,26
