date,clones,uniques,clones_14d,uniques_14d
2026-02-26,0,0,1,1
2026-02-27,1,1,2,2
2026-02-28,0,0,2,2
2026-03-01,0,0,2,2
2026-03-02,0,0,2,2
2026-03-03,0,0,2,2
2026-03-04,0,0,2,2
2026-03-05,1,1,3,3
2026-03-06,0,0,3,3
2026-03-07,0,0,3,3
2026-03-08,0,0,2,2
2026-03-09,0,0,2,2
2026-03-10,1,1,3,3
2026-03-11,1,1,4,4
2026-03-12,0,0,4,4
2026-03-13,1,1,4,4
2026-03-14,1,1,5,5
2026-03-15,1,1,6,6
2026-03-16,2,2,8,8
2026-03-17,0,0,8,8
2026-03-18,1,1,9,9
2026-03-19,0,0,8,8
2026-03-20,0,0,8,8
2026-03-21,0,0,8,8
2026-03-22,0,0,8,8
2026-03-23,1,1,9,9
2026-03-24,0,0,8,8
2026-03-25,1,1,8,8
2026-03-26,0,0,8,8
2026-03-27,0,0,7,7
2026-03-28,1,1,7,7
2026-03-29,0,0,6,6
2026-03-30,1,1,5,5
2026-03-31,2,2,7,7
2026-04-01,0,0,6,6
2026-04-02,0,0,6,6
2026-04-03,3,3,9,9
2026-04-04,1,1,10,10
2026-04-05,0,0,10,10
2026-04-06,0,0,9,9
2026-04-07,1,1,10,10
2026-04-08,0,0,9,9
2026-04-09,0,0,9,9
2026-04-10,1,1,10,10
2026-04-11,0,0,9,9
2026-04-12,1,1,10,10
2026-04-13,0,0,9,9
2026-04-14,1,1,8,8
2026-04-15,2,2,10,10
2026-04-16,1,1,11,11
2026-04-17,0,0,8,8
2026-04-18,0,0,7,7
2026-04-19,0,0,7,7
2026-04-20,4,4,11,11
2026-04-21,0,0,10,10
2026-04-22,0,0,10,10
2026-04-23,1,1,11,11
2026-04-24,0,0,10,10
2026-04-26,1,1,12,12
2026-04-27,2,2,14,14
2026-04-29,0,0,11,11
2026-04-30,0,0,10,10
2026-05-01,0,0,10,10
2026-05-02,0,0,10,10
2026-05-03,0,0,10,10
2026-05-04,0,0,6,6
2026-05-05,1,1,7,7
2026-05-06,0,0,7,7
2026-05-07,0,0,6,6
2026-05-08,0,0,6,6
2026-05-09,0,0,4,4
2026-05-10,0,0,3,3
2026-05-11,0,0,1,1
2026-05-12,3,3,4,4
2026-05-13,0,0,4,4
2026-05-14,0,0,4,4
2026-05-15,0,0,4,4
2026-05-16,0,0,4,4
2026-05-17,0,0,4,4
2026-05-18,0,0,4,4
2026-05-19,1,1,4,4
2026-05-20,0,0,4,4
2026-05-21,0,0,4,4
2026-05-22,0,0,4,4
2026-05-23,0,0,4,4
2026-05-24,0,0,4,4
2026-05-25,0,0,4,4
2026-05-26,0,0,1,1
2026-05-27,1,1,2,2
2026-05-28,0,0,2,2
2026-05-29,0,0,2,2
2026-05-30,0,0,2,2
2026-05-31,0,0,2,2
2026-06-01,0,0,2,2
2026-06-02,2,2,3,3
2026-06-03,0,0,3,3
2026-06-04,0,0,3,3
2026-06-05,2,2,5,5
2026-06-06,0,0,5,5
2026-06-07,0,0,5,5
2026-06-08,1,1,6,6
2026-06-10,1,1,7,7
2026-06-12,0,0,8,8
2026-06-13,2,2,10,10
2026-06-14,2,2,12,12
2026-06-15,1,1,13,13
2026-06-16,0,0,11,11
2026-06-17,0,0,11,11
2026-06-18,1,1,12,12
2026-06-19,0,0,10,10
2026-06-20,0,0,10,10
2026-06-21,0,0,10,10
2026-06-22,0,0,9,9
2026-06-23,0,0,8,8
2026-06-24,0,0,7,7
2026-06-25,0,0,6,6
2026-06-26,0,0,6,6
2026-06-27,1,1,5,5
2026-06-28,0,0,3,3
2026-06-29,0,0,2,2
2026-06-30,0,0,2,2
2026-07-01,0,0,2,2
2026-07-02,1,1,2,2
2026-07-03,0,0,2,2
2026-07-04,0,0,2,2
2026-07-05,0,0,2,2
2026-07-06,0,0,2,2
2026-07-07,0,0,2,2
