date,clones,uniques,clones_14d,uniques_14d
2026-06-21,0,0,0,0
2026-06-22,269,109,400,174
2026-06-23,128,53,528,219
2026-06-24,157,51,685,261
2026-06-25,155,49,840,293
2026-06-26,85,34,925,322
2026-06-27,51,26,976,341
2026-06-28,199,37,1175,355
2026-06-29,52,24,1227,374
2026-06-30,53,21,1280,384
2026-07-01,51,23,1331,400
2026-07-02,71,31,1402,419
2026-07-03,39,16,1441,425
2026-07-04,68,28,1509,443
2026-07-05,31,17,1409,392
2026-07-06,192,47,1332,335
2026-07-07,32,14,1236,296
2026-07-08,66,27,1145,292
2026-07-09,96,35,1086,276
2026-07-10,304,39,1305,280
2026-07-11,31,13,1285,269
2026-07-12,13,8,1099,255
2026-07-13,31,13,1078,248
2026-07-14,21,9,1046,237
2026-07-15,17,9,1012,225
2026-07-16,30,13,971,209
2026-07-17,15,9,947,204
2026-07-18,10,5,889,187
2026-07-19,10,5,868,174
2026-07-20,34,16,710,144
2026-07-21,6,3,684,136
2026-07-22,5,3,623,118
2026-07-23,14,9,541,95
2026-07-24,7,4,244,62
2026-07-25,28,16,241,65
2026-07-26,17,8,245,65
2026-07-27,17,11,231,61
2026-07-28,11,10,221,64
2026-07-29,15,9,219,64
2026-07-30,20,12,209,67
2026-07-31,19,9,213,68
2026-08-03,14,9,191,64
2026-08-04,8,6,193,68
2026-08-05,20,10,208,74
2026-08-06,1,1,195,70
2026-08-07,13,6,201,71
2026-08-08,8,5,181,62
2026-08-09,7,5,171,60
2026-08-10,12,6,166,57
2026-08-11,24,15,179,60
2026-08-12,185,171,349,221
2026-08-13,5,4,334,214
2026-08-14,16,11,331,214
2026-08-15,175,163,495,372
2026-08-17,8,7,492,368
2026-08-19,11,6,496,368
2026-08-20,14,9,509,371
2026-08-21,34,8,530,374
2026-08-22,6,3,528,373
2026-08-23,28,15,549,385
2026-08-24,20,12,557,389
2026-08-25,15,7,548,381
2026-08-26,16,6,379,216
