date,clones,uniques,clones_14d,uniques_14d
2026-06-13,25,15,175,53
2026-06-14,50,20,225,67
2026-06-15,4,4,229,71
2026-06-16,8,6,237,75
2026-06-17,6,5,243,79
2026-06-18,20,13,263,92
2026-06-19,1,1,264,93
2026-06-20,27,18,291,109
2026-06-21,42,18,333,122
2026-06-22,3,3,336,125
2026-06-23,0,0,336,125
2026-06-24,2,2,338,127
2026-06-25,3,2,304,129
2026-06-26,11,7,202,95
2026-06-27,4,4,181,88
2026-06-28,1,1,132,74
2026-06-29,18,9,146,77
2026-06-30,4,3,142,72
2026-07-01,79,25,215,89
2026-07-02,61,25,256,98
2026-07-03,60,15,315,108
2026-07-04,2,2,290,91
2026-07-05,15,9,263,87
2026-07-06,142,45,402,119
