date,clones,uniques,clones_14d,uniques_14d
2026-06-18,1,1,8,8
2026-06-19,0,0,5,5
2026-06-20,0,0,5,5
2026-06-21,0,0,5,5
2026-06-22,1,1,6,6
2026-06-23,0,0,6,6
2026-06-24,0,0,6,6
2026-06-25,1,1,6,6
2026-06-26,0,0,6,6
2026-06-27,1,1,7,7
2026-06-28,1,1,8,8
2026-06-29,0,0,7,7
2026-06-30,0,0,6,6
2026-07-01,0,0,5,5
2026-07-02,0,0,4,4
2026-07-03,0,0,4,4
2026-07-04,0,0,4,4
2026-07-05,0,0,4,4
2026-07-06,0,0,3,3
2026-07-07,0,0,3,3
2026-07-08,1,1,4,4
2026-07-09,0,0,3,3
2026-07-10,1,1,4,4
