date,clones,uniques,clones_14d,uniques_14d
2026-06-18,0,0,2,2
2026-06-19,0,0,2,2
2026-06-20,0,0,2,2
2026-06-21,0,0,2,2
2026-06-22,0,0,2,2
2026-06-23,1,1,3,3
2026-06-24,0,0,3,3
2026-06-25,0,0,3,3
2026-06-26,0,0,3,3
2026-06-27,1,1,4,4
2026-06-28,0,0,4,4
2026-06-29,0,0,3,3
2026-06-30,0,0,2,2
2026-07-01,0,0,2,2
2026-07-02,0,0,2,2
2026-07-03,0,0,2,2
2026-07-04,0,0,2,2
2026-07-05,0,0,2,2
2026-07-06,0,0,2,2
2026-07-07,0,0,1,1
2026-07-08,0,0,1,1
2026-07-09,0,0,1,1
2026-07-10,0,0,1,1
2026-07-25,0,0,0,0
2026-07-26,0,0,0,0
2026-07-27,0,0,1,1
2026-07-28,0,0,1,1
2026-07-29,0,0,1,1
2026-07-30,0,0,1,1
2026-07-31,1,1,2,2
2026-08-03,0,0,3,3
2026-08-04,0,0,3,3
2026-08-05,0,0,3,3
2026-08-06,7,6,10,9
2026-08-07,1,1,11,10
2026-08-08,0,0,11,10
2026-08-09,0,0,10,9
2026-08-10,0,0,10,9
2026-08-11,7,7,17,15
2026-08-12,0,0,17,15
2026-08-13,0,0,17,15
2026-08-14,9,8,25,20
2026-08-15,0,0,24,19
2026-08-17,0,0,24,19
2026-08-19,8,7,32,24
