date,clones,uniques,clones_14d,uniques_14d
2026-06-19,0,0,3,3
2026-06-20,0,0,2,2
2026-06-21,1,1,3,3
2026-06-22,0,0,2,2
2026-06-23,0,0,2,2
2026-06-24,0,0,2,2
2026-06-25,0,0,2,2
2026-06-26,0,0,2,2
2026-06-27,1,1,3,3
2026-06-28,1,1,4,4
2026-06-29,0,0,3,3
2026-06-30,1,1,4,4
2026-07-01,0,0,4,4
2026-07-02,1,1,5,5
2026-07-03,0,0,5,5
2026-07-04,0,0,5,5
2026-07-05,1,1,5,5
2026-07-06,0,0,5,5
2026-07-07,0,0,5,5
2026-07-08,0,0,5,5
2026-07-09,2,2,7,7
2026-07-10,0,0,7,7
2026-07-11,1,1,7,7
2026-07-12,0,0,6,6
2026-07-13,0,0,6,6
2026-07-14,2,2,7,6
2026-07-15,133,55,140,61
2026-07-16,5,4,144,65
2026-07-17,15,9,159,69
2026-07-18,3,3,162,72
2026-07-19,0,0,161,71
2026-07-20,4,4,165,75
2026-07-21,0,0,165,75
2026-07-22,1,1,166,76
2026-07-23,2,2,166,76
2026-07-24,1,1,167,77
2026-07-25,1,1,167,77
2026-07-26,0,0,167,77
2026-07-27,0,0,167,77
2026-07-28,1,1,166,76
2026-07-29,1,1,34,27
2026-07-30,1,1,30,24
2026-07-31,0,0,15,15
2026-08-01,1,1,13,13
2026-08-03,1,1,11,11
