date,clones,uniques,clones_14d,uniques_14d
2026-06-20,0,0,2,2
2026-06-21,0,0,2,2
2026-06-22,0,0,2,2
2026-06-23,0,0,2,2
2026-06-24,0,0,2,2
2026-06-25,0,0,2,2
2026-06-26,0,0,2,2
2026-06-27,1,1,3,3
2026-06-28,0,0,3,3
2026-06-29,0,0,2,2
2026-06-30,0,0,2,2
2026-07-01,0,0,1,1
2026-07-02,0,0,1,1
2026-07-03,0,0,1,1
2026-07-04,0,0,1,1
2026-07-05,0,0,1,1
2026-07-06,0,0,1,1
2026-07-07,0,0,1,1
2026-07-08,0,0,1,1
2026-07-09,0,0,1,1
2026-07-10,0,0,1,1
2026-07-18,1,1,1,1
2026-07-19,0,0,1,1
2026-07-20,0,0,1,1
2026-07-21,0,0,1,1
2026-07-22,0,0,1,1
2026-07-23,0,0,1,1
2026-07-24,1,1,2,2
2026-07-25,0,0,2,2
2026-07-26,0,0,2,2
2026-07-27,0,0,2,2
2026-07-28,0,0,2,2
2026-07-29,0,0,2,2
2026-07-30,1,1,3,3
2026-07-31,0,0,3,3
2026-08-03,0,0,3,3
2026-08-04,0,0,3,3
2026-08-05,0,0,3,3
2026-08-06,6,5,9,8
2026-08-07,1,1,9,8
2026-08-08,0,0,9,8
2026-08-09,1,1,10,9
