date,clones,uniques,clones_14d,uniques_14d
2026-06-24,13,2,25,2
2026-06-25,93,37,118,38
2026-06-26,3,2,121,40
2026-06-27,22,14,143,51
2026-06-28,3,3,146,53
2026-06-29,2,2,148,55
2026-06-30,0,0,148,55
2026-07-01,0,0,148,55
2026-07-02,2,2,150,57
2026-07-03,1,1,151,58
2026-07-04,0,0,151,58
2026-07-05,1,1,152,59
2026-07-06,1,1,141,60
2026-07-07,1,1,142,61
2026-07-08,4,3,133,62
2026-07-09,0,0,40,29
2026-07-10,1,1,38,28
2026-07-11,0,0,16,15
2026-07-12,1,1,14,13
2026-07-13,0,0,12,11
2026-07-14,0,0,12,11
2026-07-15,0,0,12,11
2026-07-16,0,0,10,9
2026-07-17,0,0,9,8
2026-07-18,0,0,9,8
2026-07-19,0,0,8,7
2026-07-20,0,0,7,6
2026-07-21,0,0,6,5
2026-07-22,0,0,2,2
2026-07-23,0,0,2,2
2026-07-24,0,0,1,1
2026-07-25,0,0,1,1
2026-07-26,1,1,1,1
2026-07-27,0,0,1,1
2026-07-28,2,2,3,3
2026-07-29,0,0,3,3
2026-07-30,1,1,4,4
2026-07-31,0,0,4,4
2026-08-01,1,1,5,5
2026-08-03,0,0,6,6
2026-08-04,0,0,6,6
2026-08-05,0,0,6,6
2026-08-06,6,5,12,11
2026-08-07,2,2,14,13
2026-08-08,1,1,15,14
2026-08-09,0,0,14,13
2026-08-10,0,0,14,13
2026-08-11,7,6,19,16
2026-08-12,0,0,19,16
2026-08-13,0,0,18,15
2026-08-14,8,7,26,21
2026-08-15,0,0,25,20
2026-08-17,0,0,24,19
2026-08-19,7,6,31,24
2026-08-20,2,2,27,24
2026-08-21,0,0,25,22
2026-08-22,0,0,24,21
2026-08-23,0,0,24,21
