date,clones,uniques,clones_14d,uniques_14d
2026-07-14,0,0,8,1
2026-07-15,124,48,132,48
2026-07-16,108,43,240,82
2026-07-17,1,1,241,83
2026-07-18,13,8,254,87
2026-07-19,57,23,311,100
2026-07-20,111,41,420,121
2026-07-21,33,17,448,125
2026-07-22,111,45,559,155
2026-07-23,8,8,566,162
2026-07-24,1,1,567,163
2026-07-25,7,5,574,165
2026-07-26,56,24,630,172
2026-07-27,6,6,636,178
2026-07-28,12,7,648,180
2026-07-29,44,16,568,155
2026-07-30,2,2,462,138
2026-07-31,2,2,463,138
2026-08-03,1,1,284,103
2026-08-04,1,1,252,97
2026-08-05,105,27,246,77
2026-08-06,119,38,357,99
2026-08-07,93,28,449,116
2026-08-08,64,24,506,131
2026-08-09,80,23,530,129
2026-08-10,145,42,669,146
2026-08-11,187,61,844,186
2026-08-12,68,26,868,194
2026-08-13,2,2,868,194
2026-08-14,58,24,924,206
2026-08-15,115,24,1038,213
2026-08-17,13,7,1050,214
2026-08-19,107,31,1174,235
2026-08-20,13,6,1068,219
2026-08-21,7,6,982,209
2026-08-22,25,10,943,201
