date,clones,uniques,clones_14d,uniques_14d
2026-05-09,0,0,41,17
2026-05-10,0,0,30,14
2026-05-11,617,94,647,106
2026-05-12,5,5,652,111
2026-05-13,224,34,875,139
2026-05-14,948,78,1823,210
2026-05-15,4,3,1826,212
2026-05-16,0,0,1810,208
2026-05-17,3,2,1811,208
2026-05-18,5,4,1816,210
2026-05-19,1,1,1817,211
2026-05-20,2,2,1819,213
2026-05-21,36,10,1846,220
2026-05-22,40,5,1885,224
2026-05-23,0,0,1885,224
2026-05-24,26,2,1911,226
2026-05-25,44,2,1338,141
2026-05-26,1,1,1334,137
2026-05-27,1,1,1111,109
2026-05-28,0,0,163,33
2026-05-29,97,37,256,65
2026-05-30,13,4,269,69
2026-05-31,6,5,272,72
2026-06-01,3,3,270,73
2026-06-02,3,3,272,74
2026-06-03,0,0,270,72
2026-06-04,76,16,310,74
2026-06-05,59,24,329,90
2026-06-06,134,24,463,112
2026-06-07,67,4,504,114
2026-06-08,1,1,461,113
2026-06-10,175,18,637,124
2026-06-12,0,0,543,96
2026-06-13,0,0,530,92
2026-06-14,255,15,779,103
2026-06-15,7,4,783,104
2026-06-16,113,5,893,107
2026-06-17,0,0,893,107
2026-06-18,5,2,822,97
2026-06-19,6,6,769,81
2026-06-20,270,18,905,78
2026-06-21,2,2,840,76
2026-06-22,21,6,860,81
