date,clones,uniques,clones_14d,uniques_14d
2026-07-16,99,30,99,30
2026-07-17,177,56,276,77
2026-07-18,4,4,280,81
2026-07-19,1,1,281,82
2026-07-20,1,1,282,83
2026-07-21,38,26,320,102
2026-07-22,5,3,325,103
2026-07-23,1,1,326,104
2026-07-24,2,1,328,105
2026-07-25,2,2,330,107
2026-07-26,1,1,331,108
2026-07-27,0,0,331,108
2026-07-28,0,0,331,108
2026-07-29,1,1,332,109
2026-07-30,13,9,246,95
2026-07-31,14,6,83,47
2026-08-03,1,1,80,45
2026-08-04,16,9,58,29
2026-08-05,1,1,54,27
2026-08-06,6,5,59,31
2026-08-07,1,1,58,31
2026-08-08,0,0,56,29
2026-08-09,0,0,55,28
2026-08-10,0,0,55,28
2026-08-11,4,3,59,31
2026-08-12,33,16,91,41
2026-08-13,1,1,79,37
2026-08-14,5,5,70,38
2026-08-15,0,0,68,36
2026-08-17,0,0,67,35
2026-08-19,6,6,56,35
2026-08-20,3,3,53,35
2026-08-21,1,1,53,35
