date,clones,uniques,clones_14d,uniques_14d
2026-02-26,92,28,285,87
2026-02-27,101,43,386,123
2026-02-28,92,36,478,150
2026-03-01,59,21,537,166
2026-03-02,28,11,565,172
2026-03-03,89,34,654,197
2026-03-04,93,24,747,214
2026-03-05,94,29,841,234
2026-03-06,50,18,891,244
2026-03-07,3,3,894,246
2026-03-08,46,15,940,257
2026-03-09,19,9,959,264
2026-03-10,2,2,895,241
2026-03-11,0,0,768,211
2026-03-12,0,0,676,191
2026-03-13,0,0,575,160
2026-03-14,1,1,484,134
2026-03-15,0,0,425,119
2026-03-16,5,5,402,116
2026-03-17,7,5,320,93
2026-03-18,7,6,234,81
2026-03-19,1,1,141,60
2026-03-20,2,2,93,46
2026-03-21,0,0,90,44
2026-03-22,0,0,44,30
2026-03-23,1,1,26,22
2026-03-24,66,26,90,46
2026-03-25,12,7,102,52
2026-03-26,8,3,110,54
2026-03-27,86,44,196,92
2026-03-28,34,18,229,104
2026-03-29,7,7,236,111
2026-03-30,9,6,240,111
2026-03-31,18,13,251,118
2026-04-01,5,5,249,117
2026-04-02,1,1,249,117
2026-04-03,3,3,250,117
2026-04-04,1,1,251,118
2026-04-05,0,0,251,118
2026-04-06,16,10,266,124
2026-04-07,6,5,206,110
2026-04-08,5,5,199,110
2026-04-09,4,3,195,111
2026-04-10,14,11,123,80
2026-04-11,4,4,93,68
2026-04-12,3,3,89,64
2026-04-13,2,2,82,61
2026-04-14,2,1,66,51
2026-04-15,6,6,67,52
2026-04-16,1,1,67,52
2026-04-17,2,2,66,51
2026-04-18,0,0,65,51
2026-04-19,6,6,71,56
2026-04-20,2,2,57,50
2026-04-21,1,1,52,46
2026-04-22,0,0,47,41
2026-04-23,11,7,54,45
2026-04-24,47,37,87,71
2026-04-26,10,10,101,83
2026-04-27,41,28,140,106
2026-04-29,18,15,173,130
2026-04-30,28,24,200,152
2026-05-01,18,17,216,165
2026-05-02,17,16,233,177
2026-05-03,26,21,253,185
2026-05-04,9,8,260,187
2026-05-05,2,2,261,188
2026-05-06,3,3,264,191
2026-05-07,3,2,256,185
2026-05-08,3,3,212,150
2026-05-09,1,1,202,141
2026-05-10,4,4,196,138
2026-05-11,4,4,159,116
2026-05-12,4,4,140,101
2026-05-13,3,3,125,91
2026-05-14,3,3,100,74
2026-05-15,1,1,83,63
2026-05-16,42,25,108,77
2026-05-17,154,93,236,150
2026-05-18,8,7,235,145
2026-05-19,5,4,238,147
2026-05-20,56,32,291,170
2026-05-21,35,21,323,186
2026-05-22,7,7,327,191
2026-05-23,100,64,426,242
2026-05-24,179,74,601,298
2026-05-25,96,47,693,333
2026-05-26,61,28,750,352
2026-05-27,97,50,844,398
2026-05-28,109,54,950,444
2026-05-29,142,52,1091,486
2026-05-30,556,130,1605,579
2026-05-31,14,11,1465,513
2026-06-01,8,6,1465,513
2026-06-02,56,35,1516,542
2026-06-03,41,33,1501,544
2026-06-04,68,29,1534,552
2026-06-05,9,7,1536,551
2026-06-06,11,7,1447,504
2026-06-07,16,9,1284,448
2026-06-08,13,9,1201,419
2026-06-10,99,33,1196,385
2026-06-12,36,16,1047,334
2026-06-13,1,1,492,210
2026-06-14,27,10,505,210
2026-06-15,9,9,506,212
2026-06-16,40,19,490,196
2026-06-17,22,6,471,171
2026-06-18,120,37,523,181
2026-06-19,64,19,578,192
2026-06-20,36,11,603,195
2026-06-21,12,10,599,196
2026-06-22,4,4,590,192
2026-06-23,8,8,544,188
2026-06-24,16,13,461,173
2026-06-25,29,27,424,176
2026-06-26,24,24,412,184
