date,clones,uniques,clones_14d,uniques_14d
2026-06-18,0,0,6,6
2026-06-19,0,0,5,5
2026-06-20,0,0,4,4
2026-06-21,197,74,200,77
2026-06-22,6,6,206,83
2026-06-23,2,2,208,85
2026-06-24,6,4,214,89
2026-06-25,2,2,216,91
2026-06-26,0,0,216,91
2026-06-27,1,1,216,91
2026-06-28,5,3,221,93
2026-06-29,0,0,220,92
2026-06-30,0,0,220,92
2026-07-01,0,0,219,91
2026-07-02,1,1,220,92
2026-07-03,0,0,220,92
2026-07-04,1,1,221,93
2026-07-05,3,2,27,21
2026-07-06,1,1,22,16
2026-07-07,0,0,20,14
2026-07-08,1,1,15,11
2026-07-09,1,1,14,10
