date,clones,uniques,clones_14d,uniques_14d
2026-08-09,0,0,0,0
2026-08-10,80,27,106,40
2026-08-11,8,7,114,47
2026-08-12,42,15,156,59
2026-08-13,4,3,160,61
2026-08-14,19,10,179,68
2026-08-15,1,1,180,69
2026-08-17,0,0,180,69
2026-08-19,4,4,184,73
2026-08-20,3,2,187,74
2026-08-21,1,1,188,75
2026-08-22,3,3,191,78
2026-08-23,0,0,165,66
2026-08-24,0,0,85,42
2026-08-25,1,1,78,36
2026-08-26,1,1,37,24
2026-08-27,2,2,35,24
2026-08-29,3,2,18,15
2026-08-30,6,4,24,19
2026-08-31,0,0,24,19
2026-09-01,0,0,24,19
2026-09-02,2,2,22,17
2026-09-03,1,1,20,17
