date,clones,uniques,clones_14d,uniques_14d
2026-06-18,0,0,3,3
2026-06-19,0,0,3,3
2026-06-20,1,1,4,4
2026-06-21,0,0,4,4
2026-06-22,1,1,4,4
2026-06-23,0,0,4,4
2026-06-24,0,0,4,4
2026-06-25,0,0,4,4
2026-06-26,0,0,3,3
2026-06-27,2,2,5,5
2026-06-28,0,0,5,5
2026-06-29,0,0,4,4
2026-06-30,0,0,4,4
2026-07-01,0,0,4,4
2026-07-02,0,0,4,4
2026-07-03,0,0,4,4
2026-07-04,0,0,3,3
2026-07-05,0,0,3,3
2026-07-06,0,0,2,2
2026-07-07,0,0,2,2
2026-07-08,0,0,2,2
2026-07-09,0,0,2,2
2026-07-10,0,0,2,2
2026-07-12,0,0,0,0
2026-07-13,1,1,1,1
2026-07-14,0,0,1,1
2026-07-15,1,1,2,1
2026-07-16,0,0,2,1
2026-07-17,0,0,2,1
2026-07-18,0,0,2,1
2026-07-19,0,0,2,1
2026-07-20,0,0,2,1
2026-07-21,0,0,2,1
2026-07-22,0,0,2,1
2026-07-23,0,0,2,1
2026-07-24,1,1,3,2
2026-07-25,0,0,3,2
2026-07-26,0,0,3,2
2026-07-27,1,1,3,3
2026-07-28,0,0,3,3
2026-07-29,0,0,2,2
2026-07-30,1,1,3,3
2026-07-31,1,1,4,4
2026-08-03,0,0,5,5
2026-08-04,0,0,5,5
2026-08-05,0,0,5,5
2026-08-06,3,3,8,8
2026-08-07,1,1,8,8
2026-08-08,0,0,8,8
2026-08-09,0,0,8,8
2026-08-10,0,0,7,7
2026-08-11,3,2,10,9
2026-08-12,0,0,10,9
2026-08-13,0,0,9,8
2026-08-14,3,3,11,10
2026-08-15,0,0,10,9
2026-08-17,0,0,10,9
2026-08-19,4,4,14,13
2026-08-20,1,1,12,11
2026-08-21,0,0,11,10
2026-08-22,0,0,11,10
2026-08-23,0,0,11,10
2026-08-24,0,0,11,10
2026-08-25,1,1,9,9
2026-08-26,0,0,9,9
2026-08-27,2,2,11,11
2026-08-29,0,0,8,8
2026-08-30,1,1,9,9
2026-08-31,0,0,9,9
2026-09-01,0,0,9,9
