date,clones,uniques,clones_14d,uniques_14d
2026-06-20,1,1,3,3
2026-06-21,0,0,3,3
2026-06-22,0,0,3,3
2026-06-23,0,0,3,3
2026-06-24,1,1,4,4
2026-06-25,0,0,4,4
2026-06-26,31,18,35,22
2026-06-27,59,30,94,50
2026-06-28,15,11,109,58
2026-06-29,1,1,109,58
2026-06-30,1,1,110,59
2026-07-01,1,1,111,60
2026-07-02,1,1,112,61
2026-07-03,1,1,112,61
2026-07-04,0,0,111,60
2026-07-05,0,0,111,60
2026-07-06,2,2,113,62
2026-07-07,0,0,113,62
2026-07-08,0,0,112,61
2026-07-09,0,0,112,61
2026-07-10,3,2,84,47
2026-07-11,0,0,25,20
2026-07-12,18,12,28,21
2026-07-13,0,0,27,20
2026-07-14,0,0,26,19
2026-07-15,0,0,25,18
2026-07-16,6,6,30,20
2026-07-17,20,16,49,32
2026-07-18,2,2,51,34
2026-07-19,0,0,51,34
2026-07-20,0,0,49,32
2026-07-21,0,0,49,32
2026-07-22,0,0,49,32
2026-07-23,0,0,49,32
2026-07-24,2,2,48,32
2026-07-25,0,0,48,32
2026-07-26,0,0,30,24
2026-07-27,0,0,30,24
2026-07-28,0,0,30,24
2026-07-29,0,0,30,24
2026-07-30,1,1,25,21
2026-07-31,0,0,5,5
2026-08-03,1,1,12,11
2026-08-04,0,0,12,11
2026-08-05,0,0,12,11
2026-08-06,2,2,14,13
2026-08-07,1,1,13,12
2026-08-08,1,1,14,13
2026-08-09,0,0,14,13
2026-08-10,0,0,14,13
2026-08-11,3,2,17,15
2026-08-12,8,6,25,19
2026-08-13,1,1,25,18
2026-08-14,3,3,28,21
2026-08-15,0,0,27,20
2026-08-17,2,1,21,17
2026-08-19,4,4,26,22
2026-08-20,1,1,25,21
2026-08-21,10,6,34,25
2026-08-22,6,6,39,28
2026-08-23,0,0,39,28
2026-08-24,1,1,40,29
2026-08-25,1,1,38,28
2026-08-26,1,1,31,24
2026-08-27,3,3,33,27
