date,clones,uniques,clones_14d,uniques_14d
2026-06-20,1,1,10,10
2026-06-21,0,0,9,9
2026-06-22,0,0,8,8
2026-06-23,8,2,16,10
2026-06-24,1,1,17,11
2026-06-25,1,1,18,12
2026-06-26,0,0,18,12
2026-06-27,1,1,19,13
2026-06-28,0,0,18,12
2026-06-29,0,0,17,11
2026-06-30,0,0,17,11
2026-07-01,0,0,15,9
2026-07-02,0,0,12,6
2026-07-03,0,0,12,6
2026-07-04,2,2,13,7
2026-07-05,1,1,14,8
2026-07-06,0,0,14,8
2026-07-07,0,0,6,6
2026-07-08,0,0,5,5
2026-07-09,0,0,4,4
2026-07-10,0,0,4,4
2026-07-11,1,1,4,4
2026-07-12,0,0,4,4
2026-07-13,0,0,4,4
2026-07-14,0,0,4,4
2026-07-15,0,0,4,4
2026-07-16,1,1,5,5
2026-07-17,0,0,5,5
