date,clones,uniques,clones_14d,uniques_14d
2026-07-25,0,0,0,0
2026-07-26,14,9,78,39
2026-07-27,8,7,86,43
2026-07-28,14,8,100,48
2026-07-29,2,2,102,50
2026-07-30,1,1,103,51
2026-07-31,2,2,105,52
2026-08-03,1,1,113,56
2026-08-04,0,0,113,56
2026-08-05,1,1,114,57
2026-08-06,2,2,116,59
2026-08-07,1,1,117,60
2026-08-08,2,2,55,34
2026-08-09,0,0,41,27
2026-08-10,0,0,33,23
2026-08-11,4,3,23,20
2026-08-12,5,4,26,21
2026-08-13,1,1,26,21
2026-08-14,2,2,26,22
2026-08-15,0,0,25,21
2026-08-17,0,0,18,16
2026-08-19,15,8,36,24
2026-08-20,1,1,35,23
2026-08-21,1,1,35,23
2026-08-22,0,0,33,21
2026-08-23,0,0,33,21
2026-08-24,2,2,35,23
2026-08-25,2,2,33,22
