date,clones,uniques,clones_14d,uniques_14d
2026-07-10,0,0,0,0
2026-07-11,108,27,339,49
2026-07-12,3,3,342,51
2026-07-13,24,8,366,55
2026-07-14,1,1,367,56
2026-07-15,0,0,367,56
2026-07-16,0,0,367,56
2026-07-17,1,1,368,57
2026-07-18,2,1,370,58
2026-07-19,0,0,370,58
2026-07-20,34,8,404,61
2026-07-21,2,2,406,63
2026-07-22,0,0,406,63
2026-07-23,0,0,406,63
2026-07-24,1,1,176,45
2026-07-25,2,1,70,23
2026-07-26,0,0,67,20
2026-07-27,35,8,78,19
2026-07-28,0,0,77,18
2026-07-29,0,0,77,18
2026-07-30,2,2,79,20
2026-07-31,0,0,78,19
2026-08-02,0,0,77,19
2026-08-03,17,3,60,15
2026-08-04,0,0,58,13
2026-08-05,0,0,58,13
2026-08-06,1,1,59,14
2026-08-07,1,1,59,14
2026-08-08,1,1,58,14
2026-08-09,1,1,59,15
2026-08-10,28,3,52,10
2026-08-11,6,5,58,15
2026-08-12,2,1,60,16
2026-08-13,0,0,58,14
2026-08-14,3,3,61,16
2026-08-15,0,0,60,15
2026-08-17,18,4,61,16
2026-08-19,4,4,65,20
2026-08-20,1,1,65,21
2026-08-21,0,0,64,20
2026-08-22,2,2,65,21
2026-08-23,1,1,65,21
2026-08-24,19,5,56,23
2026-08-25,4,4,54,22
2026-08-26,0,0,52,21
2026-08-27,2,2,54,23
2026-08-29,0,0,51,20
2026-08-30,3,3,54,23
2026-08-31,17,3,53,22
2026-09-01,1,1,54,23
2026-09-02,6,4,56,23
