date,clones,uniques,clones_14d,uniques_14d
2026-06-18,0,0,6,6
2026-06-19,0,0,5,5
2026-06-20,0,0,4,4
2026-06-21,1,1,5,5
2026-06-22,0,0,5,5
2026-06-23,0,0,4,4
2026-06-24,0,0,4,4
2026-06-25,0,0,4,4
2026-06-26,1,1,5,5
2026-06-27,116,36,121,41
2026-06-28,36,16,156,52
2026-06-29,12,5,167,54
2026-06-30,1,1,167,54
2026-07-01,48,16,215,67
2026-07-02,63,16,278,78
2026-07-03,1,1,279,79
2026-07-04,1,1,280,80
2026-07-05,2,2,281,81
2026-07-06,3,3,284,84
2026-07-07,1,1,285,85
2026-07-08,0,0,285,85
2026-07-09,1,1,286,86
2026-07-10,104,19,389,99
2026-07-11,40,12,313,78
2026-07-12,4,4,281,69
2026-07-13,1,1,270,67
2026-07-14,3,3,272,68
2026-07-15,95,24,319,74
2026-07-16,74,14,330,74
2026-07-17,2,2,331,74
2026-07-18,3,2,333,75
2026-07-19,1,1,332,74
2026-07-20,1,1,330,73
2026-07-21,0,0,329,72
2026-07-22,34,13,363,81
2026-07-23,1,1,363,81
2026-07-24,123,18,382,84
2026-07-25,1,1,343,76
2026-07-26,2,2,341,74
2026-07-27,33,4,373,77
2026-07-28,1,1,371,75
2026-07-29,47,10,323,63
2026-07-30,33,12,282,60
2026-07-31,8,6,288,63
2026-08-03,1,1,288,63
2026-08-04,2,2,290,65
2026-08-05,1,1,257,56
2026-08-06,0,0,256,55
2026-08-07,39,8,172,46
2026-08-08,2,2,173,46
2026-08-09,0,0,171,44
2026-08-10,1,1,139,41
2026-08-11,4,3,142,43
2026-08-12,5,4,100,40
2026-08-13,2,2,69,32
2026-08-14,6,6,67,32
2026-08-15,1,1,66,31
2026-08-17,1,1,64,30
2026-08-19,2,2,65,31
2026-08-20,1,1,66,32
2026-08-21,7,4,34,28
2026-08-22,1,1,33,27
2026-08-23,5,4,38,31
2026-08-24,0,0,37,30
2026-08-25,1,1,34,28
2026-08-26,1,1,30,25
2026-08-27,3,3,31,26
