date,clones,uniques,clones_14d,uniques_14d
2026-06-18,2,2,9,9
2026-06-19,0,0,6,6
2026-06-20,0,0,5,5
2026-06-21,0,0,5,5
2026-06-22,0,0,5,5
2026-06-23,1,1,6,6
2026-06-24,2,2,8,8
2026-06-25,1,1,8,8
2026-06-26,0,0,8,8
2026-06-27,1,1,9,9
2026-06-28,0,0,9,9
2026-06-29,0,0,8,8
2026-06-30,0,0,7,7
2026-07-01,0,0,7,7
2026-07-02,2,2,7,6
2026-07-03,0,0,7,6
2026-07-04,0,0,7,6
2026-07-05,0,0,7,6
2026-07-06,0,0,7,6
2026-07-07,0,0,6,5
2026-07-08,0,0,4,3
2026-07-09,3,3,6,5
2026-07-10,1,1,7,6
2026-07-11,1,1,7,6
2026-07-12,1,1,8,7
2026-07-13,0,0,8,7
2026-07-14,0,0,8,7
