date,clones,uniques,clones_14d,uniques_14d
2026-07-11,0,0,0,0
2026-07-12,49,25,182,90
2026-07-13,16,12,198,98
2026-07-14,7,5,205,102
2026-07-15,28,14,233,111
2026-07-16,1,1,234,112
2026-07-17,1,1,235,113
2026-07-18,1,1,236,114
2026-07-19,0,0,236,114
2026-07-20,0,0,236,114
2026-07-21,4,4,240,115
2026-07-22,0,0,240,115
2026-07-23,0,0,240,115
2026-07-24,1,1,241,116
2026-07-25,1,1,109,54
2026-07-26,0,0,60,34
2026-07-27,0,0,44,26
2026-07-28,1,1,38,22
2026-07-29,0,0,10,10
2026-07-30,78,22,87,30
2026-07-31,91,19,177,45
2026-08-03,1,1,178,46
2026-08-04,0,0,174,44
2026-08-05,26,7,200,49
2026-08-06,0,0,200,49
2026-08-07,2,2,201,50
2026-08-08,1,1,201,50
2026-08-09,0,0,201,50
2026-08-10,0,0,201,50
2026-08-11,3,2,203,51
2026-08-12,4,3,207,54
