date,clones,uniques,clones_14d,uniques_14d
2026-06-19,0,0,3,3
2026-06-20,1,1,4,4
2026-06-21,0,0,4,4
2026-06-22,0,0,4,4
2026-06-23,1,1,4,4
2026-06-24,0,0,4,4
2026-06-25,0,0,4,4
2026-06-26,0,0,3,3
2026-06-27,1,1,4,4
2026-06-28,0,0,4,4
2026-06-29,0,0,3,3
2026-06-30,0,0,3,3
2026-07-01,0,0,3,3
2026-07-02,0,0,3,3
2026-07-03,0,0,3,3
2026-07-04,0,0,2,2
2026-07-05,0,0,2,2
2026-07-06,0,0,2,2
2026-07-07,0,0,1,1
2026-07-08,0,0,1,1
2026-07-09,0,0,1,1
2026-07-10,0,0,1,1
2026-07-18,1,1,1,1
2026-07-19,0,0,1,1
2026-07-20,0,0,1,1
2026-07-21,0,0,1,1
2026-07-22,0,0,1,1
2026-07-23,0,0,1,1
2026-07-24,0,0,1,1
2026-07-25,0,0,1,1
2026-07-26,0,0,1,1
2026-07-27,0,0,1,1
2026-07-28,0,0,1,1
2026-07-29,0,0,1,1
2026-07-30,1,1,2,2
2026-07-31,0,0,2,2
2026-08-03,0,0,2,2
2026-08-04,0,0,2,2
2026-08-05,0,0,2,2
2026-08-06,0,0,2,2
2026-08-07,2,2,4,4
2026-08-08,0,0,4,4
2026-08-09,0,0,4,4
2026-08-10,1,1,5,5
2026-08-11,4,3,9,8
2026-08-12,0,0,9,8
2026-08-13,0,0,8,7
2026-08-14,3,3,11,10
2026-08-15,0,0,10,9
2026-08-17,1,1,11,10
2026-08-19,2,2,13,12
2026-08-20,0,0,13,12
2026-08-21,1,1,12,11
2026-08-22,0,0,12,11
2026-08-23,0,0,12,11
2026-08-24,0,0,11,10
2026-08-25,1,1,8,8
2026-08-26,0,0,8,8
2026-08-27,3,3,11,11
2026-08-29,0,0,8,8
2026-08-30,1,1,9,9
2026-08-31,0,0,8,8
