date,clones,uniques,clones_14d,uniques_14d
2026-06-18,0,0,5,5
2026-06-19,0,0,5,5
2026-06-20,0,0,5,5
2026-06-21,1,1,6,6
2026-06-22,0,0,5,5
2026-06-23,0,0,3,3
2026-06-24,0,0,3,3
2026-06-25,0,0,3,3
2026-06-26,0,0,3,3
2026-06-27,1,1,4,4
2026-06-28,1,1,5,5
2026-06-29,0,0,4,4
2026-06-30,0,0,4,4
2026-07-01,0,0,3,3
2026-07-02,0,0,3,3
2026-07-03,0,0,3,3
2026-07-04,0,0,3,3
2026-07-05,0,0,2,2
2026-07-06,0,0,2,2
2026-07-07,0,0,2,2
2026-07-08,1,1,3,3
2026-07-09,0,0,3,3
2026-07-10,1,1,4,4
2026-07-11,0,0,3,3
2026-07-12,0,0,2,2
2026-07-13,0,0,2,2
2026-07-14,1,1,3,3
2026-07-15,0,0,3,3
2026-07-16,0,0,3,3
2026-07-17,0,0,3,3
2026-07-18,0,0,3,3
2026-07-19,0,0,3,3
2026-07-20,1,1,4,4
2026-07-21,0,0,4,4
2026-07-22,1,1,4,4
2026-07-23,0,0,4,4
2026-07-24,0,0,3,3
2026-07-25,0,0,3,3
2026-07-26,0,0,3,3
2026-07-27,1,1,4,4
2026-07-28,1,1,4,4
2026-07-29,0,0,4,4
2026-07-30,1,1,5,5
2026-07-31,1,1,6,6
2026-08-03,1,1,7,7
2026-08-04,0,0,7,7
2026-08-05,0,0,6,6
2026-08-06,1,1,7,7
2026-08-07,1,1,8,8
2026-08-08,0,0,8,8
2026-08-09,0,0,8,8
2026-08-10,0,0,7,7
2026-08-11,5,4,11,10
2026-08-12,1,1,12,11
2026-08-13,0,0,11,10
