date,clones,uniques,clones_14d,uniques_14d
2026-06-19,0,0,10,9
2026-06-20,1,1,10,9
2026-06-21,0,0,10,9
2026-06-22,2,2,12,11
2026-06-23,1,1,12,11
2026-06-24,1,1,13,12
2026-06-25,0,0,12,12
2026-06-26,0,0,10,10
2026-06-27,1,1,11,11
2026-06-28,0,0,11,11
2026-06-29,1,1,11,11
2026-06-30,1,1,9,9
2026-07-01,0,0,8,8
2026-07-02,46,26,54,34
2026-07-03,5,3,59,37
2026-07-04,1,1,59,37
2026-07-05,4,4,63,41
2026-07-06,4,3,65,41
2026-07-07,1,1,65,41
2026-07-08,0,0,64,40
2026-07-09,0,0,64,40
2026-07-10,3,3,67,43
2026-07-11,0,0,66,42
2026-07-12,0,0,66,42
2026-07-13,0,0,65,41
