date,clones,uniques,clones_14d,uniques_14d
2026-06-04,0,0,0,0
2026-06-03,51,24,51,24
2026-06-05,870,117,1771,246
2026-06-06,232,84,2003,307
2026-06-07,234,74,2237,354
2026-06-08,238,38,2475,378
2026-06-10,14,6,2579,412
2026-06-12,4,1,2584,413
2026-06-13,24,6,2608,419
2026-06-14,197,54,2805,468
2026-06-15,53,16,2858,481
2026-06-16,29,8,2887,489
2026-06-17,1,1,2837,473
2026-06-18,117,13,2104,389
2026-06-19,79,33,1313,322
2026-06-20,22,18,1103,280
2026-06-21,133,55,1002,262
2026-06-22,113,17,877,246
2026-06-23,1,1,788,217
2026-06-24,22,10,796,218
2026-06-25,1,1,796,218
2026-06-26,1,1,793,218
2026-06-27,2,2,771,214
2026-06-28,1,1,575,162
2026-06-29,7,6,529,149
2026-06-30,0,0,500,141
2026-07-01,2,2,501,142
2026-07-02,0,0,384,133
2026-07-03,17,11,322,111
2026-07-04,3,2,303,94
2026-07-05,22,5,192,47
2026-07-06,3,2,82,36
2026-07-07,2,1,83,36
2026-07-08,0,0,61,29
2026-07-09,1,1,61,29
2026-07-10,33,13,93,38
2026-07-11,2,2,93,38
2026-07-12,1,1,93,38
2026-07-13,3,2,89,37
2026-07-14,34,13,123,46
2026-07-15,12,8,133,49
2026-07-16,36,16,169,61
2026-07-17,32,4,184,59
2026-07-18,2,2,183,60
2026-07-19,13,6,174,59
2026-07-20,6,4,177,59
2026-07-21,11,5,186,61
2026-07-22,15,9,201,67
2026-07-23,37,17,237,76
2026-07-24,21,13,225,75
2026-07-25,16,2,239,74
2026-07-26,1,1,239,74
2026-07-27,20,10,256,77
2026-07-28,3,3,225,71
2026-07-29,2,2,215,69
2026-07-30,1,1,180,59
2026-07-31,0,0,148,56
