date,clones,uniques,clones_14d,uniques_14d
2026-02-26,1,1,16,11
2026-02-27,1,1,17,12
2026-02-28,1,1,18,12
2026-03-01,0,0,17,11
2026-03-02,0,0,16,10
2026-03-03,1,1,16,11
2026-03-04,1,1,16,12
2026-03-05,2,2,15,13
2026-03-06,0,0,12,12
2026-03-07,0,0,10,10
2026-03-08,0,0,9,9
2026-03-09,0,0,8,8
2026-03-10,1,1,9,8
2026-03-11,0,0,8,7
2026-03-12,0,0,7,6
2026-03-13,5,5,11,10
2026-03-14,2,2,12,12
2026-03-15,1,1,13,13
2026-03-16,3,3,16,16
2026-03-17,0,0,15,15
2026-03-18,2,2,16,16
2026-03-19,0,0,14,14
2026-03-20,0,0,14,14
2026-03-21,1,1,15,14
2026-03-22,123,46,138,60
2026-03-23,71,20,209,76
2026-03-24,5,5,213,81
2026-03-25,2,2,215,83
2026-03-26,0,0,215,83
2026-03-27,1,1,211,79
2026-03-28,3,3,212,80
2026-03-29,1,1,212,80
2026-03-30,6,6,215,83
2026-03-31,7,7,222,89
2026-04-01,4,4,224,91
2026-04-02,0,0,224,91
2026-04-03,3,2,227,93
2026-04-04,0,0,226,93
2026-04-05,2,2,105,53
2026-04-06,3,3,37,35
2026-04-07,6,3,38,32
2026-04-08,0,0,36,30
2026-04-09,2,2,38,31
2026-04-10,5,4,42,34
2026-04-11,1,1,40,31
2026-04-12,3,3,42,32
2026-04-13,0,0,36,27
2026-04-14,1,1,30,22
2026-04-15,1,1,27,19
2026-04-16,0,0,27,19
2026-04-17,0,0,24,17
2026-04-18,1,1,25,18
2026-04-19,1,1,24,18
2026-04-20,15,3,36,19
2026-04-21,0,0,30,16
2026-04-22,2,2,32,17
2026-04-23,2,2,32,16
2026-04-24,2,2,29,15
2026-04-26,1,1,35,22
2026-04-27,1,1,36,23
2026-04-29,2,2,38,24
2026-04-30,1,1,39,25
2026-05-01,1,1,40,26
2026-05-02,1,1,40,26
2026-05-03,1,1,40,26
2026-05-04,1,1,26,24
2026-05-05,1,1,27,25
2026-05-06,3,3,28,27
2026-05-07,7,6,33,31
2026-05-08,0,0,31,29
2026-05-09,1,1,23,21
2026-05-10,0,0,22,20
2026-05-11,1,1,22,20
2026-05-12,5,5,25,24
2026-05-13,0,0,23,22
2026-05-14,2,2,24,22
2026-05-15,0,0,23,21
2026-05-16,0,0,22,20
2026-05-17,1,1,22,21
2026-05-18,3,3,24,23
2026-05-19,3,3,26,25
2026-05-20,1,1,24,23
2026-05-21,1,1,18,18
2026-05-22,1,1,19,18
2026-05-23,0,0,18,17
2026-05-24,1,1,19,18
2026-05-25,3,3,21,20
2026-05-26,2,2,18,17
2026-05-27,1,1,19,18
2026-05-28,4,1,21,18
2026-05-29,2,2,23,20
2026-05-30,5,4,28,23
2026-05-31,1,1,28,23
2026-06-01,5,5,30,25
2026-06-02,9,6,36,25
2026-06-03,2,2,37,25
2026-06-04,1,1,37,24
2026-06-05,3,3,39,24
2026-06-06,0,0,39,24
2026-06-07,0,0,38,23
2026-06-08,1,1,36,21
2026-06-10,0,0,37,21
2026-06-12,0,0,32,21
2026-06-13,3,3,30,22
2026-06-14,1,1,30,22
2026-06-15,3,3,28,21
2026-06-16,1,1,20,18
2026-06-17,2,2,20,18
2026-06-18,10,2,29,20
2026-06-19,0,0,26,17
2026-06-20,2,2,28,19
2026-06-21,1,1,29,20
2026-06-22,1,1,29,21
2026-06-23,2,2,27,19
2026-06-24,2,2,29,21
2026-06-25,1,1,29,21
2026-06-26,9,3,38,24
2026-06-27,1,1,36,22
2026-06-28,1,1,36,22
2026-06-29,1,1,34,20
2026-06-30,18,7,51,26
2026-07-01,4,4,53,26
2026-07-02,10,2,53,26
2026-07-03,2,2,55,28
2026-07-04,43,26,96,49
2026-07-05,37,23,132,70
2026-07-06,3,3,134,72
2026-07-07,1,1,133,71
2026-07-08,3,3,134,72
2026-07-09,1,1,134,73
2026-07-10,49,26,174,91
2026-07-11,0,0,173,90
2026-07-12,1,1,173,90
2026-07-13,32,20,204,102
2026-07-14,22,13,208,105
2026-07-15,11,5,215,106
