date,views,uniques,views_7d,uniques_7d
2026-06-18,1,1,4,3
2026-06-19,2,2,6,4
2026-06-20,0,0,6,4
2026-06-21,0,0,6,4
2026-06-22,0,0,6,4
2026-06-23,0,0,6,4
2026-06-24,0,0,6,4
2026-06-25,0,0,6,4
2026-06-26,0,0,5,3
2026-06-27,2,1,7,3
2026-06-28,0,0,7,3
2026-06-29,0,0,6,3
2026-06-30,0,0,6,3
2026-07-01,1,1,6,4
2026-07-02,0,0,5,4
2026-07-03,0,0,3,2
2026-07-04,0,0,3,2
2026-07-05,1,1,4,2
2026-07-06,0,0,4,2
2026-07-07,0,0,4,2
2026-07-08,2,2,6,3
2026-07-09,2,2,8,4
2026-07-10,0,0,8,4
2026-07-11,0,0,6,4
2026-07-12,1,1,7,4
2026-07-13,0,0,7,4
2026-07-14,1,1,8,4
2026-07-15,1,1,8,3
2026-07-16,0,0,8,3
2026-07-17,1,1,9,3
2026-07-18,0,0,9,3
2026-07-19,2,2,10,4
2026-07-20,0,0,10,4
2026-07-21,0,0,10,4
2026-07-22,0,0,8,4
2026-07-23,0,0,6,4
2026-07-24,1,1,7,4
2026-07-25,0,0,7,4
2026-07-26,0,0,6,4
2026-07-27,0,0,6,4
2026-07-28,0,0,5,4
2026-07-29,0,0,4,3
2026-07-30,0,0,4,3
2026-07-31,0,0,3,2
2026-08-01,0,0,3,2
2026-08-03,0,0,1,1
2026-08-04,0,0,1,1
2026-08-05,1,1,2,2
2026-08-06,0,0,2,2
2026-08-07,0,0,1,1
2026-08-08,0,0,1,1
2026-08-09,1,1,2,2
2026-08-10,1,1,3,3
2026-08-11,0,0,3,3
