date,views,uniques,views_7d,uniques_7d
2026-06-19,0,0,13,4
2026-06-20,0,0,13,4
2026-06-21,1,1,10,3
2026-06-22,1,1,11,3
2026-06-23,0,0,10,3
2026-06-24,0,0,9,3
2026-06-25,1,1,10,4
2026-06-26,1,1,10,5
2026-06-27,0,0,5,4
2026-06-28,0,0,4,4
2026-06-29,1,1,5,5
2026-06-30,0,0,5,5
2026-07-01,0,0,5,5
2026-07-02,1,1,6,6
2026-07-03,1,1,7,7
2026-07-04,0,0,7,7
2026-07-05,2,2,8,8
2026-07-06,1,1,8,8
2026-07-07,0,0,8,8
2026-07-08,1,1,9,8
2026-07-09,1,1,9,7
2026-07-10,0,0,8,6
2026-07-11,0,0,8,6
