date,views,uniques,views_7d,uniques_7d
2026-06-24,4,1,21,1
2026-06-25,26,2,47,2
2026-06-26,3,2,50,3
2026-06-27,1,1,51,3
2026-06-28,0,0,51,3
2026-06-29,0,0,51,3
2026-06-30,0,0,51,3
2026-07-01,0,0,51,3
2026-07-02,0,0,51,3
2026-07-03,0,0,51,3
2026-07-04,0,0,51,3
2026-07-05,0,0,51,3
2026-07-06,0,0,38,3
2026-07-07,0,0,34,3
2026-07-08,0,0,30,3
2026-07-09,0,0,4,2
2026-07-10,0,0,1,1
2026-07-11,0,0,0,0
2026-07-12,0,0,0,0
2026-07-13,0,0,0,0
2026-07-14,1,1,1,1
2026-07-15,0,0,1,1
2026-07-16,0,0,1,1
2026-07-17,0,0,1,1
2026-07-18,0,0,1,1
2026-07-19,0,0,1,1
2026-07-20,0,0,1,1
2026-07-21,1,1,2,1
2026-07-22,0,0,2,1
2026-07-23,0,0,2,1
2026-07-24,0,0,2,1
2026-07-25,0,0,2,1
2026-07-26,1,1,3,2
2026-07-27,0,0,3,2
2026-07-28,0,0,2,2
2026-07-29,0,0,2,2
2026-07-30,0,0,2,2
2026-07-31,0,0,2,2
2026-08-01,0,0,2,2
2026-08-03,0,0,2,2
2026-08-04,0,0,1,1
2026-08-05,0,0,1,1
2026-08-06,0,0,1,1
2026-08-07,0,0,1,1
2026-08-08,0,0,1,1
2026-08-09,0,0,0,0
2026-08-10,0,0,0,0
2026-08-11,1,1,1,1
2026-08-12,0,0,1,1
2026-08-13,0,0,1,1
2026-08-14,0,0,1,1
2026-08-15,0,0,1,1
2026-08-17,0,0,1,1
2026-08-19,0,0,1,1
2026-08-20,0,0,1,1
2026-08-21,0,0,1,1
2026-08-22,0,0,1,1
2026-08-23,0,0,1,1
2026-08-24,0,0,1,1
2026-08-25,0,0,0,0
2026-08-26,0,0,0,0
2026-08-27,0,0,0,0
