date,views,uniques,views_7d,uniques_7d
2026-07-14,0,0,1,1
2026-07-15,1,1,2,1
2026-07-16,0,0,2,1
2026-07-17,0,0,2,1
2026-07-18,0,0,2,1
2026-07-19,0,0,2,1
2026-07-20,8,1,10,1
2026-07-21,0,0,10,1
2026-07-22,1,1,11,1
2026-07-23,0,0,10,1
2026-07-24,0,0,10,1
2026-07-25,0,0,10,1
2026-07-26,9,2,19,2
2026-07-27,0,0,19,2
2026-07-28,2,1,21,2
2026-07-29,3,1,23,2
2026-07-30,0,0,23,2
2026-07-31,0,0,23,2
2026-08-03,0,0,15,2
2026-08-04,1,1,16,2
2026-08-05,26,1,41,2
2026-08-06,12,2,53,3
2026-08-07,1,1,54,3
2026-08-08,0,0,54,3
2026-08-09,1,1,46,3
2026-08-10,14,2,60,4
2026-08-11,3,1,61,4
2026-08-12,9,1,67,5
