date,views,uniques,views_7d,uniques_7d
2026-05-09,0,0,96,24
2026-05-10,0,0,94,23
2026-05-11,13,2,97,23
2026-05-12,0,0,93,22
2026-05-13,3,2,87,21
2026-05-14,9,4,91,20
2026-05-15,4,3,95,22
2026-05-16,0,0,95,22
2026-05-17,0,0,94,22
2026-05-18,3,2,97,24
2026-05-19,0,0,96,23
2026-05-20,0,0,87,17
2026-05-21,1,1,41,14
2026-05-22,19,3,52,11
2026-05-23,1,1,53,11
2026-05-24,0,0,53,11
2026-05-25,4,2,44,12
2026-05-26,0,0,44,12
2026-05-27,5,2,46,12
2026-05-28,0,0,37,10
2026-05-29,3,2,36,9
2026-05-30,0,0,36,9
2026-05-31,1,1,37,9
2026-06-01,4,2,38,9
2026-06-02,0,0,38,9
2026-06-03,2,1,40,10
2026-06-04,3,2,42,10
2026-06-05,2,2,25,11
2026-06-06,0,0,24,11
2026-06-07,0,0,24,11
2026-06-08,2,2,22,12
2026-06-10,2,1,19,11
2026-06-12,3,2,29,10
2026-06-13,0,0,29,10
2026-06-14,0,0,28,9
2026-06-15,0,0,24,8
2026-06-16,1,1,25,9
2026-06-17,1,1,24,8
2026-06-18,1,1,22,8
2026-06-19,2,2,22,8
2026-06-20,0,0,22,8
2026-06-21,6,1,28,8
2026-06-22,8,1,34,6
2026-06-23,3,3,37,9
2026-06-24,17,2,52,11
2026-06-25,1,1,43,11
2026-06-26,0,0,40,10
2026-06-27,1,1,41,11
2026-06-28,2,1,43,11
2026-06-29,2,1,45,11
2026-06-30,0,0,44,10
2026-07-01,0,0,43,10
2026-07-02,0,0,42,9
2026-07-03,0,0,40,7
2026-07-04,0,0,40,7
2026-07-05,1,1,35,8
2026-07-06,1,1,28,9
2026-07-07,0,0,25,6
2026-07-08,0,0,8,5
2026-07-09,0,0,7,4
2026-07-10,2,1,9,4
2026-07-11,1,1,9,3
2026-07-12,0,0,7,3
2026-07-13,0,0,5,3
2026-07-14,7,2,12,5
2026-07-15,0,0,12,5
2026-07-16,0,0,12,5
2026-07-17,0,0,12,5
2026-07-18,0,0,12,5
2026-07-19,0,0,11,4
2026-07-20,2,2,12,5
2026-07-21,3,3,15,8
2026-07-22,0,0,15,8
2026-07-23,0,0,15,8
2026-07-24,2,2,15,10
2026-07-25,1,1,15,10
2026-07-26,2,2,17,11
2026-07-27,0,0,17,11
2026-07-28,0,0,10,9
2026-07-29,0,0,10,9
2026-07-30,2,1,12,9
2026-07-31,0,0,12,9
2026-08-01,0,0,12,9
2026-08-03,0,0,10,8
2026-08-04,3,1,10,5
2026-08-05,0,0,10,5
2026-08-06,1,1,11,6
