date,views,uniques,views_7d,uniques_7d
2026-07-16,0,0,0,0
2026-07-17,10,1,10,1
2026-07-18,0,0,10,1
2026-07-19,1,1,11,1
2026-07-20,0,0,11,1
2026-07-21,0,0,11,1
2026-07-22,1,1,12,1
2026-07-23,0,0,12,1
2026-07-24,0,0,12,1
2026-07-25,0,0,12,1
2026-07-26,0,0,12,1
2026-07-27,0,0,12,1
2026-07-28,0,0,12,1
2026-07-29,0,0,12,1
2026-07-30,0,0,12,1
2026-07-31,0,0,2,1
2026-08-03,0,0,1,1
2026-08-04,2,1,3,1
2026-08-05,0,0,2,1
2026-08-06,0,0,2,1
2026-08-07,3,1,5,1
2026-08-08,0,0,5,1
2026-08-09,0,0,5,1
2026-08-10,1,1,6,2
2026-08-11,1,1,7,3
2026-08-12,1,1,8,3
2026-08-13,0,0,8,3
2026-08-14,0,0,8,3
2026-08-15,0,0,8,3
2026-08-17,0,0,8,3
2026-08-19,0,0,7,3
