date,views,uniques,views_7d,uniques_7d
2026-06-18,0,0,0,0
2026-06-19,0,0,0,0
2026-06-20,0,0,0,0
2026-06-21,8,1,8,1
2026-06-22,1,1,9,1
2026-06-23,2,1,11,2
2026-06-24,2,1,13,3
2026-06-25,0,0,13,3
2026-06-26,0,0,13,3
2026-06-27,0,0,13,3
2026-06-28,0,0,13,3
2026-06-29,2,1,15,4
2026-06-30,0,0,15,4
2026-07-01,1,1,16,4
2026-07-02,2,2,18,5
2026-07-03,0,0,18,5
2026-07-04,2,1,20,6
2026-07-05,2,2,14,8
2026-07-06,0,0,13,8
2026-07-07,1,1,12,8
2026-07-08,1,1,11,7
2026-07-09,0,0,11,7
2026-07-10,0,0,11,7
2026-07-11,0,0,11,7
2026-07-12,0,0,11,7
2026-07-13,11,3,20,9
2026-07-14,0,0,20,9
2026-07-15,2,1,21,8
2026-07-16,1,1,20,8
2026-07-17,1,1,21,8
2026-07-18,0,0,19,7
2026-07-19,5,1,22,6
2026-07-20,0,0,22,6
2026-07-21,2,2,23,8
2026-07-22,0,0,22,7
2026-07-23,0,0,22,7
2026-07-24,1,1,23,8
2026-07-25,0,0,23,8
2026-07-26,0,0,23,8
2026-07-27,0,0,12,6
2026-07-28,0,0,12,6
2026-07-29,4,4,14,10
2026-07-30,1,1,14,10
2026-07-31,6,1,19,10
2026-08-03,0,0,15,10
2026-08-04,0,0,13,8
2026-08-05,2,2,15,10
2026-08-06,1,1,16,11
2026-08-07,6,1,21,11
2026-08-08,5,1,26,11
2026-08-09,0,0,26,11
2026-08-10,0,0,26,11
2026-08-11,0,0,26,11
2026-08-12,0,0,22,7
2026-08-13,1,1,22,7
2026-08-14,3,2,19,8
2026-08-15,0,0,18,7
2026-08-17,0,0,18,7
2026-08-19,0,0,17,6
