date,views,uniques,views_7d,uniques_7d
2026-08-09,0,0,0,0
2026-08-10,8,3,8,3
2026-08-11,0,0,8,3
2026-08-12,0,0,8,3
2026-08-13,0,0,8,3
2026-08-14,2,1,10,3
2026-08-15,0,0,10,3
2026-08-17,0,0,10,3
2026-08-19,0,0,11,3
2026-08-20,0,0,11,3
2026-08-21,0,0,11,3
2026-08-22,0,0,11,3
2026-08-23,0,0,11,3
2026-08-24,0,0,3,1
2026-08-25,0,0,3,1
2026-08-26,0,0,3,1
2026-08-27,0,0,3,1
2026-08-29,0,0,1,1
2026-08-30,0,0,1,1
2026-08-31,0,0,1,1
2026-09-01,0,0,0,0
2026-09-02,0,0,0,0
2026-09-03,0,0,0,0
