date,stars,forks,watchers,language
2026-06-20,11,1,11,Shell
2026-06-21,11,1,11,Shell
2026-06-22,11,1,11,Shell
2026-06-23,11,1,11,Shell
2026-06-24,11,1,11,Shell
2026-06-25,11,1,11,Shell
2026-06-26,11,1,11,Shell
2026-06-27,11,1,11,Shell
2026-06-28,11,1,11,Shell
2026-06-29,11,1,11,Shell
2026-06-30,11,1,11,Shell
2026-07-01,11,1,11,Shell
2026-07-02,11,1,11,Shell
2026-07-03,11,1,11,Shell
2026-07-04,11,1,11,Shell
2026-07-05,11,1,11,Shell
2026-07-06,11,1,11,Shell
2026-07-07,11,1,11,Shell
2026-07-08,11,1,11,Shell
2026-07-09,11,1,11,Shell
2026-07-10,11,1,11,Shell
2026-07-11,11,1,11,Shell
2026-07-12,11,1,11,Shell
2026-07-13,11,1,11,Shell
2026-07-14,11,1,11,Shell
2026-07-15,11,1,11,Shell
2026-07-16,11,1,11,Shell
2026-07-17,11,1,11,Shell
2026-07-18,11,1,11,Shell
2026-07-19,11,1,11,Shell
2026-07-20,11,1,11,Shell
2026-07-21,11,1,11,Shell
2026-07-22,11,1,11,Shell
2026-07-23,11,1,11,Shell
2026-07-24,11,1,11,Shell
2026-07-25,11,1,11,Shell
2026-07-26,11,1,11,Shell
2026-07-27,11,1,11,Shell
2026-07-28,11,1,11,Shell
2026-07-29,11,1,11,Shell
2026-07-30,11,1,11,Shell
2026-07-31,11,1,11,Shell
2026-08-01,11,1,11,Shell
2026-08-02,11,1,11,Shell
2026-08-03,11,1,11,Shell
2026-08-04,11,1,11,Shell
2026-08-05,11,1,11,Shell
2026-08-07,11,1,11,Shell
2026-08-08,11,1,11,Shell
2026-08-09,11,1,11,Shell
2026-08-10,11,1,11,Shell
2026-08-11,11,1,11,Shell
2026-08-12,11,1,11,Shell
2026-08-13,11,1,11,Shell
2026-08-14,11,1,11,Shell
2026-08-15,11,1,11,Shell
2026-08-16,11,1,11,Shell
2026-08-17,11,1,11,Shell
2026-08-18,11,1,11,Shell
2026-08-19,11,1,11,Shell
2026-08-20,11,1,11,Shell
2026-08-21,11,1,11,Shell
2026-08-22,11,1,11,Shell
2026-08-23,11,1,11,Shell
2026-08-24,11,1,11,Shell
2026-08-25,11,1,11,Shell
2026-08-26,11,1,11,Shell
2026-08-28,11,1,11,Shell
2026-08-29,11,1,11,Shell
2026-08-30,11,1,11,Shell
2026-08-31,11,1,11,Shell
2026-09-01,11,1,11,Shell
2026-09-02,11,1,11,Shell
2026-09-03,11,1,11,Shell
2026-09-04,11,1,11,Shell
