date,views,uniques,views_7d,uniques_7d
2026-07-25,0,0,0,0
2026-07-26,1,1,3,1
2026-07-27,17,5,20,5
2026-07-28,10,3,30,6
2026-07-29,0,0,30,6
2026-07-30,2,2,32,8
2026-07-31,0,0,32,8
2026-08-03,1,1,33,9
2026-08-04,1,1,34,9
2026-08-05,1,1,35,9
2026-08-06,0,0,35,9
2026-08-07,0,0,35,9
2026-08-08,0,0,33,9
2026-08-09,0,0,32,9
2026-08-10,0,0,15,6
2026-08-11,0,0,5,3
2026-08-12,0,0,5,3
2026-08-13,1,1,4,2
2026-08-14,3,1,7,3
2026-08-15,0,0,7,3
2026-08-17,8,6,14,8
2026-08-19,2,1,17,8
2026-08-20,1,1,18,8
2026-08-21,1,1,19,8
2026-08-22,0,0,19,8
2026-08-23,0,0,19,8
2026-08-24,0,0,19,8
2026-08-25,0,0,19,8
2026-08-26,0,0,19,8
2026-08-27,0,0,18,7
2026-08-29,0,0,15,7
2026-08-30,0,0,15,7
2026-08-31,0,0,7,1
2026-09-01,0,0,4,1
2026-09-02,0,0,2,1
