date,views,uniques,views_7d,uniques_7d
2026-07-10,0,0,0,0
2026-07-11,11,1,11,1
2026-07-12,0,0,11,1
2026-07-13,1,1,12,1
2026-07-14,0,0,12,1
2026-07-15,2,1,14,2
2026-07-16,0,0,14,2
2026-07-17,0,0,14,2
2026-07-18,2,1,16,3
2026-07-19,0,0,16,3
2026-07-20,1,1,17,3
2026-07-21,0,0,17,3
2026-07-22,0,0,17,3
2026-07-23,0,0,17,3
2026-07-24,0,0,17,3
2026-07-25,0,0,6,3
2026-07-26,0,0,6,3
2026-07-27,0,0,5,3
2026-07-28,0,0,5,3
2026-07-29,1,1,4,3
2026-07-30,0,0,4,3
2026-07-31,0,0,4,3
2026-08-02,0,0,2,2
2026-08-03,0,0,1,1
2026-08-04,0,0,1,1
2026-08-05,0,0,1,1
2026-08-06,0,0,1,1
2026-08-07,2,1,3,2
2026-08-08,0,0,3,2
2026-08-09,0,0,3,2
2026-08-10,0,0,3,2
