date,views,uniques,views_7d,uniques_7d
2026-06-18,0,0,0,0
2026-06-19,0,0,0,0
2026-06-20,0,0,0,0
2026-06-21,0,0,0,0
2026-06-22,0,0,0,0
2026-06-23,0,0,0,0
2026-06-24,0,0,0,0
2026-06-25,0,0,0,0
2026-06-26,0,0,0,0
2026-06-27,25,13,25,13
2026-06-28,2,1,27,13
2026-06-29,7,1,34,13
2026-06-30,0,0,34,13
2026-07-01,0,0,34,13
2026-07-02,7,1,41,13
2026-07-03,0,0,41,13
2026-07-04,1,1,42,13
2026-07-05,0,0,42,13
2026-07-06,0,0,42,13
2026-07-07,1,1,43,14
2026-07-08,2,2,45,15
2026-07-09,0,0,45,15
2026-07-10,37,31,82,44
2026-07-11,3,3,60,36
2026-07-12,1,1,59,37
2026-07-13,0,0,52,37
2026-07-14,1,1,53,38
2026-07-15,8,8,61,45
2026-07-16,9,8,63,51
2026-07-17,0,0,63,51
2026-07-18,2,2,64,52
2026-07-19,0,0,64,52
2026-07-20,0,0,64,52
2026-07-21,0,0,63,51
2026-07-22,0,0,61,50
2026-07-23,0,0,61,50
2026-07-24,12,8,36,27
2026-07-25,4,3,37,26
2026-07-26,0,0,36,26
2026-07-27,0,0,36,26
2026-07-28,0,0,35,25
2026-07-29,0,0,27,18
2026-07-30,0,0,18,11
2026-07-31,0,0,18,11
2026-08-03,0,0,17,10
2026-08-04,1,1,18,10
2026-08-05,0,0,18,10
2026-08-06,0,0,18,10
2026-08-07,0,0,6,4
2026-08-08,0,0,2,2
2026-08-09,0,0,2,2
2026-08-10,1,1,3,2
2026-08-11,1,1,4,2
2026-08-12,1,1,5,2
2026-08-13,0,0,5,2
2026-08-14,0,0,5,2
2026-08-15,0,0,4,2
2026-08-17,0,0,4,2
2026-08-19,0,0,3,1
2026-08-20,0,0,3,1
2026-08-21,0,0,3,1
2026-08-22,0,0,3,1
2026-08-23,1,1,4,2
2026-08-24,0,0,3,2
2026-08-25,0,0,2,2
2026-08-26,0,0,1,1
2026-08-27,0,0,1,1
2026-08-29,0,0,1,1
2026-08-30,0,0,1,1
2026-08-31,1,1,2,1
2026-09-01,0,0,2,1
2026-09-02,2,2,4,3
2026-09-03,0,0,4,3
