date,views,uniques,views_7d,uniques_7d
2026-06-18,0,0,5,4
2026-06-19,0,0,5,4
2026-06-20,1,1,6,5
2026-06-21,1,1,7,6
2026-06-22,1,1,8,7
2026-06-23,0,0,8,7
2026-06-24,1,1,9,7
2026-06-25,1,1,10,8
2026-06-26,1,1,11,9
2026-06-27,0,0,9,8
2026-06-28,2,2,11,9
2026-06-29,0,0,10,9
2026-06-30,1,1,10,9
2026-07-01,2,2,11,9
2026-07-02,1,1,12,10
2026-07-03,0,0,12,10
2026-07-04,0,0,11,9
2026-07-05,0,0,10,8
2026-07-06,0,0,9,8
2026-07-07,0,0,9,8
2026-07-08,0,0,8,8
2026-07-09,6,1,13,8
2026-07-10,1,1,13,7
2026-07-11,0,0,13,7
2026-07-12,3,3,14,7
2026-07-13,4,3,18,9
2026-07-14,0,0,17,8
2026-07-15,2,1,17,6
2026-07-16,3,2,19,6
2026-07-17,0,0,19,6
2026-07-18,2,1,21,6
