date,views,uniques,views_7d,uniques_7d
2026-07-11,0,0,0,0
2026-07-12,18,4,86,11
2026-07-13,21,4,107,14
2026-07-14,4,2,111,15
2026-07-15,19,2,130,16
2026-07-16,0,0,130,16
2026-07-17,0,0,130,16
2026-07-18,2,2,132,17
2026-07-19,1,1,133,18
2026-07-20,3,2,136,19
2026-07-21,5,3,141,21
2026-07-22,0,0,141,21
2026-07-23,0,0,141,21
2026-07-24,0,0,141,21
2026-07-25,0,0,73,14
2026-07-26,0,0,55,11
2026-07-27,0,0,34,8
2026-07-28,0,0,30,7
2026-07-29,0,0,11,6
2026-07-30,0,0,11,6
2026-07-31,2,2,13,7
2026-08-03,0,0,10,4
2026-08-04,0,0,5,2
2026-08-05,3,2,8,3
2026-08-06,0,0,8,3
2026-08-07,1,1,9,4
2026-08-08,0,0,9,4
2026-08-09,3,3,12,7
2026-08-10,3,3,15,9
2026-08-11,1,1,16,10
2026-08-12,1,1,17,11
2026-08-13,0,0,17,11
2026-08-14,5,3,20,13
2026-08-15,2,1,19,13
2026-08-17,1,1,21,14
2026-08-19,0,0,19,13
2026-08-20,2,2,21,15
2026-08-21,3,1,23,15
2026-08-22,3,3,26,18
2026-08-23,1,1,24,16
2026-08-24,0,0,21,14
2026-08-25,0,0,20,13
2026-08-26,0,0,19,12
2026-08-27,0,0,19,12
2026-08-29,8,1,20,9
