date,views,uniques,views_7d,uniques_7d
2026-06-19,0,0,8,2
2026-06-20,1,1,9,3
2026-06-21,1,1,9,3
2026-06-22,0,0,9,3
2026-06-23,0,0,9,3
2026-06-24,0,0,9,3
2026-06-25,0,0,9,3
2026-06-26,0,0,2,2
2026-06-27,0,0,2,2
2026-06-28,0,0,2,2
2026-06-29,0,0,2,2
2026-06-30,1,1,3,3
2026-07-01,0,0,3,3
2026-07-02,82,3,85,6
2026-07-03,2,2,87,7
2026-07-04,0,0,86,6
2026-07-05,1,1,86,5
2026-07-06,2,2,88,6
2026-07-07,0,0,88,6
2026-07-08,1,1,89,7
2026-07-09,3,1,92,7
2026-07-10,0,0,92,7
2026-07-11,1,1,93,7
2026-07-12,0,0,93,7
