date,views,uniques,views_7d,uniques_7d
2026-06-04,0,0,0,0
2026-06-03,17,1,17,1
2026-06-05,7,5,51,11
2026-06-06,2,1,53,11
2026-06-07,3,1,56,11
2026-06-08,0,0,56,11
2026-06-10,2,1,64,12
2026-06-12,4,1,71,13
2026-06-13,0,0,71,13
2026-06-14,1,1,72,13
2026-06-15,1,1,73,14
2026-06-16,2,1,75,14
2026-06-17,4,1,62,14
2026-06-18,2,1,37,8
2026-06-19,4,1,34,4
2026-06-20,0,0,32,4
2026-06-21,14,2,43,5
2026-06-22,3,2,46,6
2026-06-23,0,0,40,5
2026-06-24,0,0,38,5
2026-06-25,0,0,35,4
2026-06-26,2,2,33,6
2026-06-27,4,3,37,8
2026-06-28,2,1,38,8
2026-06-29,0,0,37,8
2026-06-30,1,1,36,8
2026-07-01,0,0,32,7
2026-07-02,1,1,31,7
2026-07-03,0,0,27,7
2026-07-04,1,1,28,7
2026-07-05,0,0,14,6
2026-07-06,0,0,11,5
2026-07-07,1,1,12,5
2026-07-08,1,1,13,6
2026-07-09,0,0,13,6
2026-07-10,1,1,12,5
2026-07-11,11,1,19,4
2026-07-12,0,0,17,3
2026-07-13,2,1,19,4
2026-07-14,5,1,23,3
2026-07-15,1,1,24,3
2026-07-16,2,1,25,3
2026-07-17,0,0,25,3
2026-07-18,0,0,24,3
2026-07-19,4,2,28,4
2026-07-20,7,1,35,4
2026-07-21,1,1,35,4
2026-07-22,1,1,35,3
2026-07-23,10,3,45,5
2026-07-24,3,3,47,6
2026-07-25,0,0,36,6
2026-07-26,1,1,37,6
2026-07-27,3,2,38,6
2026-07-28,0,0,33,6
2026-07-29,1,1,33,7
2026-07-30,0,0,31,7
2026-07-31,1,1,32,8
2026-08-01,0,0,32,8
2026-08-03,0,0,21,7
2026-08-04,6,1,26,8
2026-08-05,0,0,25,8
2026-08-06,5,3,20,8
2026-08-07,0,0,17,7
2026-08-08,0,0,17,7
2026-08-09,10,1,26,7
2026-08-10,5,1,28,6
2026-08-11,0,0,28,6
2026-08-12,2,1,29,6
2026-08-13,0,0,29,6
