date,views,uniques,views_7d,uniques_7d
2025-07-02,21,7,173,57
2025-07-03,1,1,162,54
2025-07-04,1,1,160,52
2025-07-05,31,7,184,55
2025-07-06,28,3,198,54
2025-07-07,38,12,213,60
2025-07-08,23,3,204,53
2025-07-09,31,6,220,55
2025-07-10,7,3,222,52
2025-07-11,6,6,220,54
2025-07-12,12,6,223,53
2025-07-13,8,5,218,52
2025-07-14,27,6,241,55
2025-07-15,23,5,246,54
2025-07-16,18,6,254,54
2025-07-17,28,2,281,54
2025-07-18,8,1,286,52
2025-07-19,9,6,262,56
2025-07-20,4,3,242,58
2025-07-21,9,5,213,53
2025-07-22,5,4,186,54
2025-07-23,9,3,174,55
2025-07-24,6,4,173,57
2025-07-25,8,5,175,55
2025-07-26,5,4,168,54
2025-07-27,1,1,161,51
2025-07-28,12,7,146,55
2025-07-29,1,1,123,49
2025-07-30,21,6,127,50
2025-07-31,7,3,99,50
2025-08-01,4,2,103,52
2025-08-02,4,2,98,48
2025-08-03,6,3,100,48
2025-08-04,6,6,97,49
2025-08-05,1,1,92,46
2025-08-06,6,4,83,42
2025-08-08,8,3,83,40
2025-08-09,12,7,91,44
2025-08-10,8,3,98,45
2025-08-11,4,4,90,43
2025-08-12,8,4,98,45
2025-08-13,21,3,97,42
2025-08-14,4,3,94,42
2025-08-15,24,6,110,43
2025-08-16,9,2,118,44
2025-08-17,23,3,177,45
2025-08-18,15,6,186,43
2025-08-19,45,2,224,39
2025-08-21,7,5,231,43
2025-08-22,7,5,229,44
2025-08-23,1,1,218,39
2025-08-24,7,3,217,40
2025-08-25,6,6,219,43
2025-08-26,4,4,215,44
2025-08-27,1,1,195,45
2025-08-28,1,1,192,43
2025-08-29,6,3,126,38
2025-08-31,3,1,106,36
2025-09-01,3,2,94,33
2025-09-02,7,4,56,35
2025-09-03,3,1,57,33
2025-09-04,5,5,55,33
2025-09-05,3,3,51,34
2025-09-06,1,1,51,34
2025-09-07,7,2,49,30
2025-09-08,12,6,56,31
2025-09-09,4,2,56,30
2025-09-10,3,3,58,32
2025-09-11,12,8,69,39
2025-09-12,2,2,65,37
2025-09-13,2,2,67,39
2025-09-14,8,3,72,41
2025-09-15,2,2,68,40
2025-09-16,12,4,76,41
2025-09-17,2,2,75,43
2025-09-18,1,1,71,39
2025-09-19,5,5,73,40
2025-09-20,4,2,76,41
2025-09-21,2,2,71,41
2025-09-22,6,5,46,28
2025-09-26,7,4,51,30
2025-09-27,1,1,50,29
2025-09-28,3,2,45,28
2025-09-29,1,1,44,27
2025-09-30,2,1,34,25
2025-10-01,2,2,34,25
2025-10-02,4,3,37,27
2025-10-03,1,1,33,23
2025-10-04,4,3,33,24
2025-10-05,4,4,35,26
2025-10-06,5,3,34,23
2025-10-07,33,5,67,28
2025-10-08,6,5,73,33
2025-10-09,4,4,78,38
2025-10-10,2,2,73,36
2025-10-11,8,2,80,37
2025-10-12,2,2,79,37
2025-10-13,4,4,82,39
2025-10-14,2,2,82,40
2025-10-15,6,1,86,39
2025-10-16,2,2,83,36
2025-10-18,3,2,82,36
2025-10-19,3,3,81,36
2025-10-20,6,3,82,37
2025-10-21,3,3,52,36
2025-10-22,17,5,62,34
2025-10-23,3,3,61,34
2025-10-24,5,3,64,35
2025-10-25,4,4,60,35
2025-10-26,2,2,60,34
2025-10-27,2,2,58,32
2025-10-28,20,8,76,38
2025-10-29,9,4,79,41
2025-10-30,18,7,95,46
2025-10-31,3,3,98,49
2025-11-01,2,2,97,50
2025-11-02,2,2,96,49
2025-11-03,8,3,98,49
2025-11-04,11,4,106,50
2025-11-05,3,2,92,48
2025-11-06,5,5,94,49
2025-11-07,16,5,103,50
2025-11-08,11,4,112,52
2025-11-09,2,2,112,52
2025-11-10,6,5,116,54
2025-11-11,9,6,106,52
2025-11-12,9,6,106,54
2025-11-13,2,2,93,50
2025-11-14,8,5,98,52
2025-11-15,7,6,103,56
2025-11-16,4,3,108,58
2025-11-17,3,3,103,58
2025-11-18,10,4,102,58
2025-11-19,8,5,107,62
